127.0.0.1 - - [06/Mar/2025:20:13:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:23 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:23 +0530] "GET /hotel_mgt_new/images/room2.jpg HTTP/1.1" 200 266973
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:23 +0530] "GET /hotel_mgt_new/images/room1.jpg HTTP/1.1" 200 358147
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:23 +0530] "GET /hotel_mgt_new/StyleSheets/indexStyle.css HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:23 +0530] "GET /hotel_mgt_new/JavaScripts/indexJavaScript.js HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:58 +0530] "GET /hotel_mgt_new/login.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:13:58 +0530] "GET /hotel_mgt_new/styles.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:14:03 +0530] "POST /Hotel_Management_System/LoginServlet HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:14:23 +0530] "GET /hotel_mgt_new/register.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:15:29 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:15:29 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:15:29 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:15:31 +0530] "GET /hotel_mgt_new/login.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:15:31 +0530] "GET /hotel_mgt_new/styles.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:00 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:21 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:21 +0530] "GET /hotel_mgt_new/StyleSheets/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:22 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:49 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:50 +0530] "GET /hotel_mgt_new/login.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:16:50 +0530] "GET /hotel_mgt_new/styles.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:17:37 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:17:37 +0530] "GET /hotel_mgt_new/images/room2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:17:37 +0530] "GET /hotel_mgt_new/images/room1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:26 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:27 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:27 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:30 +0530] "GET /hotel_mgt_new/SignUp.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:34 +0530] "GET /hotel_mgt_new/login.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:18:34 +0530] "GET /hotel_mgt_new/styles.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/Mar/2025:20:20:14 +0530] "GET /hotel_mgt_new/ HTTP/1.1" 200 1547
